id,institution,title,job_category,position_type,institution_type,aos,aoc,location,state,country,city,workload,vacancies,deadline,start_date,posted_date,status,url,scraped_date
30981,"Centre for Philosophy of Natural and Social Science, London School of Economics",CPNSS Research Officer in Cosmology and the Edge of the Universe (Philosophy of Physics 2),Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"Philosophy or Foundations of Physics, philosophy of physics, philosophy of cosmology, and the edge of the universe",Open,"London, England, United Kingdom",,United Kingdom,London,Full time,1,"March 15, 2026, 11:59pm BST",01/02/2026,"February 26, 2026, 10:13pm UTC",active,https://philjobs.org/job/show/30981,2026-03-10T02:47:49.813637
30949,"Department of Historical, Philosophical and Religious Studies, Umeå University, Sweden","Doctoral student in Philosophy, specialization in Ethics in Teacher Education",Graduate fellowship / Fixed term,Other,Research University,Ethics in teacher education,Open,"Umeå, Västerbotten, Sweden",,Sweden,Umeå,Full time,1,"April 15, 2026, 11:59pm CET","August 31, 2026","February 25, 2026, 10:28pm UTC",active,https://philjobs.org/job/show/30949,2026-03-10T02:47:50.618337
30969,"Department of Philosophy, Georgia State University",Lecturer in Philosophy,Junior faculty / Tenure-track or similar,Tenured / Continuing / Permanent,Research University,"Open, with preference for Biomedical Ethics","Open, with preference for A.I. Ethics, Neuroethics, Philosophy of Race, Feminist Philosophy, Environmental Ethics, Philosophy of Law, and/or Social and Political Philosophy.","Atlanta, Georgia, United States",GA,United States,Atlanta,Full time,1,No deadline specified (applications considered on an ongoing basis),August 2026,"February 25, 2026, 10:27pm UTC",active,https://philjobs.org/job/show/30969,2026-03-10T02:47:51.336658
30965,"Institute of Philosophy, University of Bern","Professor of the History of Philosophy (full-time, open rank)","Senior faculty / Tenured, continuing or permanent",Tenured / Continuing / Permanent,Research University,Early Modern Philosophy,Open,"Bern, Bern, Switzerland",,Switzerland,Bern,Full time,1,"April 10, 2026, 11:59pm CET",1 August 2027,"February 24, 2026, 10:33pm UTC",active,https://philjobs.org/job/show/30965,2026-03-10T02:47:52.040305
30961,"Department of Philosophy, Goethe University Frankfurt am Main",Doctoral Researcher,Graduate fellowship / Fixed term,Other,Research University,Ethics or Metaethics,"Metaethics, Normative Ethics","Frankfurt am Main, Hesse, Germany",,Germany,Frankfurt am Main,Part time,1,"April 8, 2026, 11:59pm CET",as soon as possible,"February 24, 2026, 10:32pm UTC",active,https://philjobs.org/job/show/30961,2026-03-10T02:47:52.750730
30945,"Computer Science, University College London","Lecturer/Associate Professor in Programming Principles, Logic, and Verification (PPLV)","Senior faculty / Tenured, continuing or permanent",Tenured / Continuing / Permanent,Research University,Open,Open,"London, England, United Kingdom",,United Kingdom,London,Full time,1,"March 16, 2026, 11:59pm BST",,"February 24, 2026, 10:27pm UTC",active,https://philjobs.org/job/show/30945,2026-03-10T02:47:53.454149
30941,Ergo,Editorial Consultant,"Other (non-academic) / Tenured, continuing or permanent",Other,Other,Open,Open,"New York, New York, United States",NY,United States,New York,Part time,1,No deadline specified (applications considered on an ongoing basis),March 2026,"February 24, 2026, 10:23pm UTC",active,https://philjobs.org/job/show/30941,2026-03-10T02:47:54.160737
30937,Center for Inquirynot BA-granting,Editor of Free Inquiry Magazine and Executive Director of the Council for Secular Humanism,"Other (non-academic) / Tenured, continuing or permanent",Other,Other,"Open, but philosophy of religion preferred","Open, but ethics preferred","Amhert, New York, United States",NY,United States,Amhert,Full time,1,"April 21, 2026, 11:59pm EST","September 1, 2026","February 24, 2026, 10:20pm UTC",active,https://philjobs.org/job/show/30937,2026-03-10T02:47:54.863951
30861,"The Department of History, Philosophy, and Jewish Studies , The Open University of Israel",Senior Academic Faculty Position in Philosophy,Faculty (open rank) / Contract type open,Tenured / Continuing / Permanent,Other,Open,Open,"Raanana, Central District, Israel",,Israel,Raanana,Full time,1,"March 29, 2026, 11:59pm IST",Fall 2027,"February 24, 2026, 10:19pm UTC",active,https://philjobs.org/job/show/30861,2026-03-10T02:47:55.691964
30901,"Hong Kong Catastrophic Risk Centre, Lingnan University, Hong Kong",Postdoctoral Fellow,Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,Ethics of AI,Ethics of AI,"Lingnan university, Siu Hong, Hong Kong",,Hong Kong,Lingnan university,Full time,1,No deadline specified (applications considered on an ongoing basis),August 2026,"February 20, 2026, 7:30pm UTC",active,https://philjobs.org/job/show/30901,2026-03-10T02:47:56.406401
30929,"Division of the Humanities and Social Sciences, California Institute of Technology","Postdoctoral Scholar Teaching Fellow in the Linde Center for Science, Society, and Policy",Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"Applied Ethics, Environmental Ethics, Biomedical Ethics",Philosophy of Science,"Pasadena, California, United States",CA,United States,Pasadena,Full time,1,No deadline specified (applications considered on an ongoing basis),Summer 2026,"February 20, 2026, 7:22pm UTC",active,https://philjobs.org/job/show/30929,2026-03-10T02:47:57.111752
30933,"Dpeartment of Philosophy , University of Edinburgh",PhD position in AI Ethics and Philosophy of Science,Graduate fellowship / Fixed term,Other,Research University,Ethics of AI; Philosophy of Science,Open,"George Square , Edinburgh, United Kingdom",,United Kingdom,George Square,Full time,1,"March 16, 2026, 11:59pm BST",September 2026,"February 20, 2026, 7:20pm UTC",active,https://philjobs.org/job/show/30933,2026-03-10T02:47:57.825389
30925,"Department of Philosophy & Religion, Appalachian State University",Teaching Assistant Professor of Philosophy,Junior faculty / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Open but a demonstrated ability to teach Logic is required,"Teaching competence in at least two of the following areas: Critical Thinking; Philosophy of Science and/or Technology; Metaphysics; History of Analytic Philosophy; Philosophy of Democracy. Special interest will be given to candidates who also have demonstrated teaching competence in Religious Studies, which may include non-Western religious traditions and comparative studies of religion","Boone, North Carolina, United States",NC,United States,Boone,Full time,1,"March 20, 2026, 11:59pm EST","August 1, 2026","February 18, 2026, 6:15pm UTC",active,https://philjobs.org/job/show/30925,2026-03-10T02:47:58.669911
30921,"The Department of Historical, Philosophical and Religious Studies, Umeå University","PhD position in philosophy (4-year salaried), open to all areas of philosophy",Graduate fellowship / Fixed term,Other,Research University,Open,Open,"Umeå, Västerbotten, Sweden",,Sweden,Umeå,Full time,1,"March 16, 2026, 11:59pm CET","August 31, 2026","February 18, 2026, 6:13pm UTC",active,https://philjobs.org/job/show/30921,2026-03-10T02:47:59.393767
30917,Institut Jean Nicod,Postdoctoral Fellowship in Philosophy of Cognitive Science,Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,Philosophy of Cognitive Science; Cognitive science; Cognitive control,Philosophy of Mind; Action Theory; Cognitive Neuroscience,"Paris, Île-de-France, France",,France,Paris,Full time,1,"May 1, 2026, 11:59pm CET",1 September 2026,"February 18, 2026, 6:11pm UTC",active,https://philjobs.org/job/show/30917,2026-03-10T02:48:00.112962
30913,Institut Jean Nicod,Postdoctoral Fellowship in Philosophy of Action / Philosophy of Mind,Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,Philosophy of Mind + Action; Ethics; Cognitive Science,Moral Psychology; Cognitive Control; Consciousness,"Paris, Île-de-France, France",,France,Paris,Full time,1,"April 1, 2026, 11:59pm CET",1 August 2026,"February 18, 2026, 6:10pm UTC",active,https://philjobs.org/job/show/30913,2026-03-10T02:48:00.909783
30905,"Technion, Israel Institute of Technology",Funded PhD Positions in Philosophy,Graduate fellowship / Fixed term,Other,Research University,"Philosophy of science (especially philosophy of the life sciences, cognitive science, and pharmacy and medicine), philosophy of mind and perception, and early modern/modern philosophy","Philosophy of science (especially philosophy of the life sciences, cognitive science, and pharmacy and medicine), philosophy of mind and perception, and early modern/modern philosophy","Haifa, Haifa, Israel",,Israel,Haifa,Full time,3,"May 31, 2026, 11:59pm IST",Fall 2026; precise date negotiable,"February 18, 2026, 6:07pm UTC",active,https://philjobs.org/job/show/30905,2026-03-10T02:48:01.623191
30897,"Department of Philosophy, University of Poitiers (France)",Postdoctoral position (2+1 years) -- Qualitative epistemic grading and aggregation,Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"Philosophy of science, Formal epistemology, Decision theory",Open,"Poitiers, Poitou-Charentes, France",,France,Poitiers,Full time,1,"May 17, 2026, 11:59pm CET",September or October 2026 (can be discussed),"February 13, 2026, 9:52pm UTC",active,https://philjobs.org/job/show/30897,2026-03-10T02:48:02.333803
30893,"Department of Philosophy, University of Poitiers (France)",PhD Position (3 years) -- Improving collective decisions in expert committees,Graduate fellowship / Fixed term,Postdoc / Fellowship,Research University,"Philosophy of science, Formal epistemology, Decision theory, and/or Experimental economics",Open,"Poitiers, Poitou-Charentes, France",,France,Poitiers,Full time,1,"May 17, 2026, 11:59pm CET",September or October 2026 (can be discussed),"February 13, 2026, 9:50pm UTC",active,https://philjobs.org/job/show/30893,2026-03-10T02:48:03.046743
30889,"Department of Philosophy, Illinois Wesleyan University",26-27 Visiting Assistant Professor of Philosophy,Junior faculty / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Open,"Philosophy of Science, broadly construed","Bloomington, Illinois, United States",IL,United States,Bloomington,Full time,1,No deadline specified (applications considered on an ongoing basis),"August 15, 2026","February 13, 2026, 9:48pm UTC",active,https://philjobs.org/job/show/30889,2026-03-10T02:48:03.753673
30885,United States Naval Academy,Resident Ethics Fellow,Postdoc or similar / Fixed term,Postdoc / Fellowship,Other,"Ethics, Political Philosophy","Ethics, Political Philosophy","Annapolis, Maryland, United States",MD,United States,Annapolis,Full time,4,No deadline specified (applications considered on an ongoing basis),August 2026,"February 11, 2026, 10:23pm UTC",active,https://philjobs.org/job/show/30885,2026-03-10T02:48:04.470531
30877,"Philosophy, Skidmore College",Visiting Assistant Professor,Junior faculty / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Open,Non-European philosophy or Ethics,"Saratoga Springs, New York, United States",NY,United States,Saratoga Springs,Full time,1,"March 13, 2026, 11:59pm EST",Late August 2026,"February 11, 2026, 10:12pm UTC",active,https://philjobs.org/job/show/30877,2026-03-10T02:48:05.175985
30845,"Philosophy Department , Wellesley College",Visiting Assistant Teaching Professor in Philosophy,Visiting fellowship / Professorship / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,"Philosophy of Mind, Introduction to Metaphysics and Epistemology, Medical Ethics, Environmental Ethics, Philosophy of Language, and Rationality and Action",Philosophy of Mind,"Wellesley Hills, Massachusetts, United States",MA,United States,Wellesley Hills,Part time,2,"March 15, 2026, 11:59pm EST",Fall 2026,"February 10, 2026, 10:25pm UTC",active,https://philjobs.org/job/show/30845,2026-03-10T02:48:05.885657
30857,"Center for Cyclone Civics , Iowa State University",Post Doctoral Research Associate,Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"Civic Education, Civic Engagement, Citizenship","American Philosophy, Philosophy of Education","Ames, Iowa, United States",IA,United States,Ames,Full time,1,No deadline specified (applications considered on an ongoing basis),"August 1, 2026","February 10, 2026, 10:24pm UTC",active,https://philjobs.org/job/show/30857,2026-03-10T02:48:06.611119
30834,Seton Hall University,Lecturer in the Core Curriculum,Junior faculty / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Research University,Catholic Intellectual Tradition,Open,"South Orange, New Jersey, United States",NJ,United States,South Orange,Full time,2,"March 15, 2026, 11:59pm EST",,"February 9, 2026, 10:26pm UTC",active,https://philjobs.org/job/show/30834,2026-03-10T02:48:07.310000
30838,"Department of Philosophy and Religion, Northeastern University",Assistant Teaching Professor/ Associate Teaching Professor/ Full Teaching Professor,"Faculty (open rank) / Tenured, continuing or permanent",Tenured / Continuing / Permanent,Research University,Artificial Intelligence Ethics,Open,"Boston, Massachusetts, United States",MA,United States,Boston,Full time,1,No deadline specified (applications considered on an ongoing basis),"August 17, 2026","February 6, 2026, 10:00pm UTC",active,https://philjobs.org/job/show/30838,2026-03-10T02:48:08.045332
30822,"Department of Philosophy, Pomona College",Visiting Assistant Professor,Visiting fellowship / Professorship / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Ancient Philosophy,Open,"Claremont, California, United States",CA,United States,Claremont,Full time,1,"March 16, 2026, 11:00am PST",,"February 5, 2026, 7:54pm UTC",active,https://philjobs.org/job/show/30822,2026-03-10T02:48:08.750248
30794,"Fakultät für Wirtschafts- und Sozialwissenschaften,  Universität Hamburg",Doctoral researchers in the DFG Graduate Program “Collective Decision-Making” (12 positions) § 28 Subsection 3 HmbHG,Graduate fellowship / Fixed term,Postdoc / Fellowship,Research University,"university degree of Economics (Master), Philosophy (Master) or Political Science (Master)",Economics,"Hamburg, Hamburg, Germany",,Germany,Hamburg,Part time,12,"March 31, 2026, 11:59pm CET",01.11.2026,"February 2, 2026, 6:40pm UTC",active,https://philjobs.org/job/show/30794,2026-03-10T02:48:09.493358
30798,"Department of Philosophy, Colorado College",Visiting Assistant Professor,Visiting fellowship / Professorship / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Philosophy of Science or Epistemology,Logic and History of Philosophy,"Colorado Springs, Colorado, United States",CO,United States,Colorado Springs,Full time,1,No deadline specified (applications considered on an ongoing basis),17 August 2026,"January 29, 2026, 8:55pm UTC",active,https://philjobs.org/job/show/30798,2026-03-10T02:48:10.215127
30802,"Department of Philosophy, Colorado College",Visiting Assistant Professor,Visiting fellowship / Professorship / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Normative Ethics or Applied Ethics,Environmental Ethics and History of Philosophy,"Colorado Springs, Colorado, United States",CO,United States,Colorado Springs,Full time,1,No deadline specified (applications considered on an ongoing basis),17 August 2026,"January 29, 2026, 8:54pm UTC",active,https://philjobs.org/job/show/30802,2026-03-10T02:48:11.019307
30718,"Department of equity, ethics, and policy, McGill University",Postdoctoral Research Fellow,Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"philosophy, decision science or statistics","philosophy, decision science or statistics","Montréal, Quebec, Canada",,Canada,Montréal,Full time,1,No deadline specified (applications considered on an ongoing basis),Negotiable,"January 27, 2026, 4:51pm UTC",active,https://philjobs.org/job/show/30718,2026-03-10T02:48:11.724145
30786,"Health Humanities and Bioethics, University of Rochester School of Medicine and Dentistry","Assistant, Associate, or Full Professor",Faculty (open rank) / Tenure-track or similar,Tenure-Track,Research University,"Bioethics, ELSI Genetics, AI ethics, Neuroethics, Transplant Ethics, Clinical Ethics","Bioethics, ELSI Genetics, AI ethics, Neuroethics, Transplant Ethics, Clinical Ethics","Rochester, New York, United States",NY,United States,Rochester,Full time,2,"April 15, 2026, 11:59pm EST","Between July 1, 2026-March 1, 2027","January 27, 2026, 4:51pm UTC",active,https://philjobs.org/job/show/30786,2026-03-10T02:48:12.437690
30782,"Department of Philosophy, University at Buffalo",Postdoctoral Associate (Community Engagement),Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,PPE or related areas,PPE or related areas,"Locksley Park, New York, United States",NY,United States,Locksley Park,Full time,1,No deadline specified (applications considered on an ongoing basis),,"January 23, 2026, 10:25pm UTC",active,https://philjobs.org/job/show/30782,2026-03-10T02:48:13.255049
30778,"Department of Philosophy, University at Buffalo",Postdoctoral Associate (Teaching),Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"Any of the following: PPE, Social and Political Philosophy, Formal and Social Epistemology","PPE, Social and Political Philosophy, Formal and Social Epistemology","Locksley Park, New York, United States",NY,United States,Locksley Park,Full time,2,No deadline specified (applications considered on an ongoing basis),,"January 23, 2026, 10:23pm UTC",active,https://philjobs.org/job/show/30778,2026-03-10T02:48:14.087162
30774,"Department of Philosophy, University at Buffalo",Postdoctoral Associate (Research),Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"PPE, Empirical and Experimental Methods","PPE, Social Epistemology, Social and Political Philosophy, Philosophy of Science","Locksley Park, New York, United States",NY,United States,Locksley Park,Full time,1,No deadline specified (applications considered on an ongoing basis),,"January 23, 2026, 10:22pm UTC",active,https://philjobs.org/job/show/30774,2026-03-10T02:48:14.792294
30766,"Department of Philosophy, McMaster University",Bertrand Russell Visiting Professorship,Visiting fellowship / Professorship / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Research University,Bertrand Russell and early analytic philosophy,Bertrand Russell and early analytic philosophy,"Hamilton, Ontario, Canada",,Canada,Hamilton,Part time,1,"March 15, 2026, 11:59pm EST","Sept 1, 2026 or Jan 1, 2027","January 23, 2026, 10:17pm UTC",active,https://philjobs.org/job/show/30766,2026-03-10T02:48:15.525121
30758,"Centre for Philosophical Psychology, University of Antwerp","Two postdoc positions in philosophy of mind (one or two years), Centre for Philosophical Psychology, University of Antwerp.",Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,Philosophy of Mind,Open,"Antwerpen, Flanders, Belgium",,Belgium,Antwerpen,Full time,2,"March 20, 2026, 11:59pm CET",,"January 22, 2026, 10:21pm UTC",active,https://philjobs.org/job/show/30758,2026-03-10T02:48:16.236082
30762,"Department of Philosophy, University of Guelph",Assistant Professor,Junior faculty / Tenure-track or similar,Tenure-Track,Research University,AI Ethics,Open,"Guelph, Ontario, Canada",,Canada,Guelph,Full time,1,No deadline specified (applications considered on an ongoing basis),"July 1, 2026, or another mutually agreed-upon date in 2026.","January 22, 2026, 10:21pm UTC",active,https://philjobs.org/job/show/30762,2026-03-10T02:48:16.958814
30754,"Department of Philosophy, Amherst College","Visiting Assistant, Associate, or Full Professor of Philosophy",Faculty (open rank) / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Open,Open,"Amherst, Massachusetts, United States",MA,United States,Amherst,Full time,1,No deadline specified (applications considered on an ongoing basis),"July 1, 2026","January 21, 2026, 10:04pm UTC",active,https://philjobs.org/job/show/30754,2026-03-10T02:48:17.674436
30746,"Philosophy, Carnegie Mellon University",Head of Philosophy Department,Senior faculty / Tenure-track or similar,Other,Research University,Open,Open,"Pittsburgh, Pennsylvania, United States",PA,United States,Pittsburgh,Full time,1,"March 15, 2026, 11:59pm EST",,"January 21, 2026, 10:02pm UTC",active,https://philjobs.org/job/show/30746,2026-03-10T02:48:18.412433
30726,"Foundations of Thermodynamics Group, Nanyang Technological University Singapore",Research Fellow in Foundations of Thermodynamics,Postdoc or similar / Fixed term,Postdoc / Fellowship,Research University,"Philosophy of Physics, Philosophy of Science",Open,"Jurong Town, Singapore, Singapore",,Singapore,Jurong Town,Full time,1,"March 20, 2026, 11:59pm SGT",Fall 2026 or later (PhD must be in hand before start date),"January 20, 2026, 3:30pm UTC",active,https://philjobs.org/job/show/30726,2026-03-10T02:48:19.134434
30710,"Department of Philosophy, Davidson College",Visiting Assistant Professor of Philosophy,Junior faculty / Fixed term,Visiting / Adjunct / Lecturer (Fixed-Term),Teaching College,Open,Open,"Davidson, North Carolina, United States",NC,United States,Davidson,Full time,1,No deadline specified (applications considered on an ongoing basis),"July 1, 2026","January 20, 2026, 2:59pm UTC",active,https://philjobs.org/job/show/30710,2026-03-10T02:48:19.984730
